Name,Crystal Structure,Diaphaneity,Specific Gravity,Optical,Refractive Index,Molar Mass,Molar Volume,Calculated Density
Autunite,3.0,2.0,3.15,4.0,1.568,528.1602019999999,0.2689134,1.63
Avogadrite,3.0,2.0,2.9,4.0,1.324,106.904509,0.03365609,2.636
Azurite,2.0,2.0,3.7760000000000002,4.0,1.775,204.10853999999998,0.05601349,3.0239999999999996
Babefphite,1.0,3.0,4.31,3.0,1.631,520.61789,0.11209396,3.855
Babingtonite,1.0,1.0,3.3,0.0,1.712,703.8060289999999,0.17932181999999994,3.258
Baddeleyite,2.0,2.0,5.75,4.0,2.173,79.8788,0.0224026,2.9589999999999996
Bakerite,2.0,2.0,2.88,4.0,1.6380000000000001,171.79838,0.07844678,1.818
Banalsite,3.0,2.0,3.065,4.0,1.5730000000000002,350.44784599999997,0.05608708,5.186
Baotite,4.0,0.0,0.0,3.0,1.97,557.37438,0.08949229,5.169
Bararite,5.0,3.0,2.1519999999999997,3.0,0.9890000000000001,47.083903,0.011214100000000001,3.485
Barrerite,3.0,2.0,2.13,4.0,1.484,874.6739670000002,0.12368525,5.87
Barstowite,2.0,0.0,0.0,0.0,0.0,824.4279399999998,0.08897821,7.69
Barytocalcite,2.0,2.0,3.675,4.0,1.632,297.4234,0.06725162,3.6710000000000003
Bassanite,2.0,3.0,2.725,4.0,1.5659999999999998,192.21900000000002,0.056048199999999986,2.847
Bayldonite,2.0,0.0,0.0,0.0,0.0,553.7645300000001,0.06724267,6.835
Bayleyite,2.0,3.0,2.05,4.0,1.482,3101.2317399999997,0.41497258,6.202999999999999
Bazzite,5.0,3.0,2.81,3.0,1.621,377.732127,0.02256666000000001,13.892999999999999
Becquerelite,3.0,3.0,5.145,4.0,1.7930000000000001,1970.4098,0.17948889999999998,9.112
Benitoite,5.0,2.0,3.6,3.0,1.78,245.2913,0.0224538,9.067
Benstonite,5.0,2.0,0.0,3.0,1.611,349.7388,0.07846692999999999,3.699
Berborite,5.0,3.0,0.0,3.0,1.5330000000000001,78.84944,0.05602215,1.168
Bergenite,2.0,3.0,0.0,4.0,1.6980000000000002,2206.059386,0.26911740000000006,6.803999999999999
Berlinite,5.0,2.0,2.65,3.0,1.528,89.95410100000002,0.02241899,3.33
Bertrandite,3.0,3.0,2.595,4.0,1.6030000000000002,144.12346000000002,0.04484186,2.668
Beryl,5.0,2.0,2.76,3.0,1.5819999999999999,380.91992999999997,0.13448904,2.351
Beryllonite,2.0,2.0,2.8,4.0,1.557,380.91992999999997,0.13448904,2.351
Beudantite,5.0,2.0,4.48,3.0,1.95,445.01432900000003,0.03365288,10.975999999999999
Bicchulite,6.0,3.0,2.813,0.0,0.0,128.151779,0.033649990000000005,3.161
Biehlite,2.0,0.0,0.0,0.0,0.0,340.61978999999997,0.033628630000000014,8.407
Billwiseite,2.0,0.0,6.33,0.0,0.0,1520.42316,0.1009023,12.507
Biotite,2.0,1.0,3.0,4.0,1.625,465.325046,0.06734836000000001,5.735
Birnessite,2.0,1.0,3.0,3.0,1.71,102.93625,0.03359535,2.543
Bischofite,2.0,2.0,1.56,4.0,1.51,91.7565,0.033436,2.278
Bismite,2.0,0.0,0.0,0.0,0.0,465.95894000000004,0.0336308,11.5
Bismutite,3.0,1.0,7.417000000000001,3.0,2.165,493.96934000000005,0.04483211,9.145
Bityite,2.0,2.0,5.5,4.0,1.6569999999999998,448.154844,0.17932862,2.074
Bixbyite,0.0,1.0,5.12,2.0,0.0,196.81295,0.02241405,7.287999999999999
